tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,tannapistolis,,0,@USAirways worst customer service. Still not providing me an answer even after I drove back to CLT airport. been rude &amp; unacceptable #fail,,2015/2/18 19:57,,Eastern Time (US & Canada),,
5.68E+17,negative,1,Customer Service Issue,0.3616,US Airways,,KBStrauss,,0,@USAirways I have run out of patience.. We are sitting in a bus without air in front of plane and there is no communication from anyone40min,,2015/2/18 19:49,New York City,Eastern Time (US & Canada),,
5.68E+17,negative,1,Late Flight,0.6826,US Airways,,cnichols9,,0,@USAirways 3 delays 2 Cancelled Flightlations a double layover and 72 hours Late Flightr....could I at least get extra dividend miles?,,2015/2/18 19:48,Georgia,,,
5.68E+17,negative,1,Cancelled Flight,0.6667,US Airways,,scheds14,,0,@USAirways I didn't take my original flight. I was suppose to arrive last night than by 2:00pm today. Didn't get in til 5,,2015/2/18 19:34,"Phoenix, AZ",,,
5.68E+17,negative,1,Late Flight,0.6832,US Airways,,Hannah01486019,,0,"@USAirways sitting for 30 minutes on the runway at dca, because your gates are full? Early landing, Late Flight flight.",,2015/2/18 19:30,"Washington, DC",Eastern Time (US & Canada),,
5.68E+17,negative,1,Can't Tell,0.6617,US Airways,,terryheubert,,0,@USAirways #flight4592 LET US OFF THIS PLANE!!!  please go to a gate.  This is absurd.,,2015/2/18 19:26,The District of Columbia,Eastern Time (US & Canada),,
5.68E+17,negative,1,Lost Luggage,1,US Airways,,DillardJ32,,0,@USAirways @AmericanAir 2 trips in a row with missing luggage. Just like last time. I pay for baggage to be transported.,,2015/2/18 19:17,Anoka MN,Central Time (US & Canada),,
5.68E+17,negative,1,Lost Luggage,1,US Airways,,RuelBass,,0,@USAirways lost our luggage. #yay,,2015/2/18 19:15,"脺T: 41.233943,-74.3966664",Eastern Time (US & Canada),,
5.68E+17,negative,1,longlines,1,US Airways,,vallie_grl,,0,@USAirways really frustrating to be endlessly waiting at PHL for a ground crew to taxi us in at 10pm at night. Why is this taking so long?!,,2015/2/18 19:12,,Atlantic Time (Canada),,
5.68E+17,negative,0.6447,Bad Flight,0.3368,US Airways,,AYoungWVU,,0,@USAirways Thanks for calling me about my 10:00p redirected flight at 10:07p. #SmoothOperation,,2015/2/18 19:08,"Scott Depot, WV",,,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,bhardwaj_j,,0,@USAirways : its just a very bad customer service experience// can you help,,2015/2/18 19:07,,,,
5.68E+17,negative,1,Customer Service Issue,0.6701,US Airways,,bhardwaj_j,,0,"@USAirways : i have been trying to reach dividend miles  to extend my ticket for last 3 days , 20 + calls and i get a message to call back",,2015/2/18 19:07,,,,
5.68E+17,negative,1,Late Flight,0.6733,US Airways,,KBStrauss,,0,@USAirways how does an airline misplace an airline attendant?!! been at Reagan airport since 1pm10:15 to Cincy is delayed trying to find her,,2015/2/18 19:03,New York City,Eastern Time (US & Canada),,
5.68E+17,negative,1,Flight Booking Problems,0.3539,US Airways,,mma718,,0,@USAirways My flight finally arrived in Charlotte.  They booked my luggage thru to lga but no room on flight for me.  What a mess,,2015/2/18 19:02,"Queens, New York",,,
5.68E+17,negative,1,Lost Luggage,0.6801,US Airways,,scheds14,,0,"@USAirways been on hold for over an hour, still don't know where my bags are, won't refund me my flight?!?! It wasn't weather!!",,2015/2/18 18:58,"Phoenix, AZ",,,
5.68E+17,negative,1,Can't Tell,0.6625,US Airways,,od2be2003,,0,@USAirways no your not!,,2015/2/18 18:55,"Dallas, TX",Eastern Time (US & Canada),,
5.68E+17,negative,1,Can't Tell,0.3565,US Airways,,f0ll0wer99,,0,@USAirways My wife had flight changes due to weather now she cant checkin to her return flight and it fails Is it possible usair Cancelled Flightled,,2015/2/18 18:53,,Central Time (US & Canada),,
5.68E+17,negative,1,Customer Service Issue,0.6838,US Airways,,iamlisa222,,0,@USAirways yup 1:34 minutes was my limit of waiting on hold so thanks for nothing,,2015/2/18 18:40,Wisconsin,Central Time (US & Canada),,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,iamlisa222,,0,@USAirways this is more than having patience. This is not acceptable. http://t.co/N7pSuEJDC8,,2015/2/18 18:32,Wisconsin,Central Time (US & Canada),,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,iamlisa222,,0,@USAirways can you explain why I am on hold over an hour .Other than I'm dumb and should be using a different airline #wth,,2015/2/18 18:17,Wisconsin,Central Time (US & Canada),,
5.68E+17,negative,1,Can't Tell,0.3608,US Airways,,ClareGannon,,0,@USAirways you used to have an evening flight DCA-DSM and an early AM return. Now it's middle of the work day for both. Inconvenient.,,2015/2/18 18:13,,Eastern Time (US & Canada),,
5.68E+17,negative,1,Late Flight,1,US Airways,,dream_weaver96,,0,@USAirways delays to the max,"[35.22476994, -80.93932077]",2015/2/18 18:06,Murfreesboro- Memphis  ,Central Time (US & Canada),,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,iamlisa222,,0,@USAirways well this is #nofun #nocustomerservice #onhold trying to make #reservations #nothappy http://t.co/m7MMq2f5FA,,2015/2/18 18:02,Wisconsin,Central Time (US & Canada),,
5.68E+17,negative,1,Late Flight,0.6702,US Airways,,MendezJenn,,0,@USAirways it shouldn't take longer to get to the gate than the flight itself takes.... 59 minutes flying time - 47 minutes on runway so far,,2015/2/18 18:01,,,,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,tlbelote,,0,"@USAirways attempting ckin for flight on 2/19 all day, site unable to retrieve details.  Called twice and disconnected.",,2015/2/18 18:00,,Quito,,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,drb1125,,0,@USAirways Emailed them a week ago and still nothing...,,2015/2/18 17:54,,,,
5.68E+17,negative,0.7012,Customer Service Issue,0.3719,US Airways,,sara_regis19,,0,@USAirways I would be willing to pay anything to change a flight! @AllegiantTravel does not! help!,,2015/2/18 17:46,Puerto Rico ,,,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,BokaLaBoca,,0,@USAirways yeah you guys just told me to call the website that I booked from. I booked on your website. UNACCEPTABLE,"[0.0, 0.0]",2015/2/18 17:45,,Pacific Time (US & Canada),,
5.68E+17,negative,1,longlines,0.3363,US Airways,,MendezJenn,,0,@USAirways still waiting! Captain reports he's called 6 times to get ground crew....and still sitting on runway. #evenLate Flightr,,2015/2/18 17:42,,,,
5.68E+17,negative,0.6859,Late Flight,0.6859,US Airways,,TravisAJB,,0,@USAirways is the real MVP for holding up the flight connecting Philly to Tampa.,,2015/2/18 17:40,,Quito,,
5.68E+17,negative,1,Cancelled Flight,1,US Airways,,dmorgancu,,0,@USAirways you have most likely lost my business. Terrible experience! Too many times stuck on Tarmac and last min Cancelled Flightled flights. #Done,"[35.22447828, -80.93940943]",2015/2/18 17:28,"Clemson, SC",Central Time (US & Canada),,
5.68E+17,negative,1,Lost Luggage,1,US Airways,,tannapistolis,,0,@USAirways I have been doing that all day. Can't find my bag anywhere bc they're saying it was never scanned &amp; technically never left LAX.,,2015/2/18 17:26,,Eastern Time (US & Canada),,
5.68E+17,negative,1,Late Flight,0.673,US Airways,,MendezJenn,,0,@USAirways why no ground crew at DCA when we're already Late Flight arriving #evenLate Flightr,,2015/2/18 17:25,,,,
5.68E+17,negative,1,Lost Luggage,1,US Airways,,scheds14,,0,@USAirways being told 'tough break and this is how it is' is unacceptable. You can't even tell me when my bags will be here,,2015/2/18 17:21,"Phoenix, AZ",,,
5.68E+17,negative,1,Lost Luggage,1,US Airways,,tannapistolis,,0,@USAirways now telling me I don't have the correct tag for my luggage!!! My luggage apparently is not in LA or Charlotte. This is not ok!!,,2015/2/18 17:12,,Eastern Time (US & Canada),,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,ximplosionx,,0,"@USAirways Your software is broken. ""Call Customer Support"" is not the fix. Like I said earlier, yell at your developers.",,2015/2/18 17:12,"Redmond, WA",Eastern Time (US & Canada),,
5.68E+17,negative,1,Flight Booking Problems,1,US Airways,,ximplosionx,,0,@USAirways It's not double booked. I spoke with CS and we've got a plan to fix this. It's still an amateur mistake that should never happen.,,2015/2/18 17:11,"Redmond, WA",Eastern Time (US & Canada),,
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,SneakerPimp215,,0,"@USAirways @AmericanAir hey guys, due to some horrible customer service issues is there any way I can get a checked bag credit?",,2015/2/18 17:07,Sistine Chapel ,Eastern Time (US & Canada),,
5.68E+17,negative,1,Late Flight,1,US Airways,,RyanMWatts,,0,@USAirways delayed 2 days for weather and on top I got yelled at for being Late Flight when I was not notified of the time change #WellDone,,2015/2/18 17:02,Washington DC,Central Time (US & Canada),,
5.68E+17,negative,1,Can't Tell,0.6804,US Airways,,ximplosionx,,0,@USAirways Not a great experience for my first time flying US Airways. Going forward I'll probably be taking my business elsewhere.,,2015/2/18 17:01,"Redmond, WA",Eastern Time (US & Canada),,
5.68E+17,negative,1,Can't Tell,0.6465,US Airways,,LinseyGarwood,,0,@USAirways ...Loosing a lot of business by using Barclays. I cant believe that you cant apply for a card if you live in Iowa.,,2015/2/18 17:01,,,,
